X,Y,Z
152889.037,122594.696,102.23
152881.532,122578.791,101.93
152882.839,122583.444,101.98
152885.363,122588.278,102.12
152887.389,122592.107,102.24
152878.712,122580.809,101.93
152891.424,122590.793,102.23
152890.362,122586.055,102.07
152888.785,122584.021,102.06
152882.419,122590.522,102.14
152879.098,122582.466,101.94
