borehole,depth[m],x,y,z
205,3.2,152887.693,122594.62,101.804
208,3.4,152885.296,122592.986,101.848
212,3.4,152882.85,122591.453,101.93
207,3.4,152892.925,122592.662,101.889
214,3.6,152888.082,122588.486,101.854
217,4.2,152886.185,122587.152,101.815
225,4,152881.112,122580.962,101.669
304,3.6,152882.735,122586.452,101.824
