<WELLCONSTRUCTION>,,,,
Bore,Depth_top_C,Depth_bot_C,Diam_in,Cons_Type
E. Good,0,856,6,Steel
E.R. Allen,0,27,12,Steel
E.R. Allen,27,300,12,Open
E.T. Evans; 1,-1,125,16,Steel
E.T. Evans; 1,125,350,16,Open
E.T. Evans; 2,-1.5,47,14,Steel
E.T. Evans; 2,44,49,10,Steel
E.T. Evans; 2,49,54,10,Screen-SS
E.T. Evans; 2,54,72,10,Steel
E.T. Evans; 2,72,76,10,Screen-SS
E.T. Evans; 2,76,90,10,Steel
E.T. Evans; 2,90,95,10,Screen-SS
E.T. Evans; 2,95,105,10,Steel
Emmett City Well No. 2,728,850,12.75,Perforations-steel
Emmett City Well No. 2,728.6,850.8,12.75,Steel
Emmett City Well No. 2,812.3,973.2,8.625,Steel
Emmett City Well No. 2,844,904,8.625,Perforations-steel
Emmett City Well No. 2,935,955,8.625,Perforations-steel
Emmett City Well No. 2,944.2,983.8,6.625,PVC
Emmett City Well No. 2,983.8,1265.3,6.625,Steel
Emmett ISD;,-3,285,18,Steel
Emmett ISD;,260,290,10,Steel
Emmett ISD;,290,440,10,Screen-SS
Emmett ISD;,440,450,10,Steel
Ewing Co. / MATES,-0.5,34.5,10.6,Steel
Ewing Co. / MATES,1.3,660,6.6,Steel
Ewing Co. / MATES,660,680,6.6,Perforations-steel
Ewing Co. / MATES,680,760,6.6,Steel
Ewing Co. / MATES,760,780,6.6,Perforations-steel
Ewing Co. / MATES,780,800,6.6,Steel
F. Bonessa,-1.8,124.6,8.6,Steel
F. Bonessa,1,410,6.6,PVC
F. Bonessa,410,550,6.6,Perforations-PVC
F. Bonessa,514,560.2,5.5,Steel
F. Bonessa,550,551,6.6,PVC
F. Bonessa,560.2,570.5,5.5,Screen-SS
F. Bonessa,560.2,581,4.5,Perforations-steel
F. Bonessa,570.5,629.7,5.5,Steel
Farm Dev Corp,-1,38,8.6,Steel
Frisby Land Holdings,-2,380,16,Steel
Frisby Land Holdings,0,22,24,Steel
Frisby Land Holdings,369,384,10,Steel
Frisby Land Holdings,384,414,10,Screen-SS
Frisby Land Holdings,414,427,10,Steel
Frisby Land Holdings,427,457,10,Screen-SS
Frisby Land Holdings,457,481,10,Steel
Frisby Land Holdings,481,491,10,Screen-SS
Frisby Land Holdings,491,491,10,Steel
Frisby Land Holdings,518,518,10,Screen-SS
Frisby Land Holdings,538,538,10,Steel
Frisby Land Holdings,552,552,10,Screen-SS
Frisby Land Holdings,572,572,10,Steel
Frisby Land Holdings,600,630,10,Screen-SS
G. Sill,-1,134,6,Steel
G. Sill,131,137,5,Steel
G. Sill,137,147,5,Screen-SS
G. Sill,147,149,5,Steel
G.J. Cunningham,728,850,12.25,Perforations-steel
G.J. Cunningham,728.6,850.8,12.25,Steel
G.J. Cunningham,812.3,973.2,8.125,Steel
G.J. Cunningham,844,904,8.125,Perforations-steel
G.J. Cunningham,935,955,8.125,Perforations-steel
G.J. Cunningham,944.2,983.8,6.1,PVC
G.J. Cunningham,983.8,1265.3,6.1,Steel
G.L. Schwisow,-2,838,10,Steel
Good and Wilson,-1,404,16,Steel
Good and Wilson,-1,413,12,Steel
Good and Wilson,413,433,12,Screen-other
Good and Wilson,433,459,12,Steel
Good and Wilson,459,469,12,Screen-other
Good and Wilson,469,479,12,Steel
Good and Wilson,479,489,12,Screen-other
Good and Wilson,489,600,12,Steel
H. Montierth; 2,-1,129,16,Steel
H. Montierth; 2,330,385,12,Steel
H. Montierth; 2,350,370,12,Perforations-steel
H. Raff,-1,110,6.6,Steel
H. Raff,110,115,6.6,Perforations-steel
H. Raff,115,399,6.6,Steel
H.M. Charters,0,9,20,Steel
H.M. Charters,20,370,20,Open
Hillsdale Estates HOA,-2,398,16,Steel
Hillsdale Estates HOA,398,575,12,Steel
Hillsdale Estates HOA,575,655,10,Screen-SS
Idaho Power; 1,-2,100,8,Steel
Idaho Power; 1,5,52,14,Steel
Idaho Power; 1,100,120,8,Screen-SS
Idaho Power; Nampa,-2,182,6,Steel
Idaho Power; Nampa,-2,184.7,12,Steel
Idaho Power; Nampa,182,192,6,Screen-SS
Idaho Power; Nampa,184.7,192.7,10,Steel
Idaho Power; Nampa,192.7,208.5,10,Screen-SS
Idaho Power; Nampa,208.5,213.5,8,Screen-SS
Idaho Power; Nampa,213.5,215.2,10,Steel
IDFG; Nampa Htchry 1,-2,25,8,Steel
IDFG; Nampa Htchry 1,25,85,8,Open
IDFG; Nampa Htchry 2,-2,22,16,Steel
IDFG; Nampa Htchry 2,22,164,16,Open
Initial Butte Farms,0,13.8,8,Steel
Initial Butte Farms,13.8,550,8,Open
ISCI; Test 3-B,-2,42,10,Steel
ISCI; Test 3-B,-1,7.5,20,Steel
ISTD; Blacks Crk RA,-2,5.5,10,Steel
ISTD; Blacks Crk RA,5.5,807.5,8,Steel
ISTD; Blacks Crk RA,807.5,810,6,Steel
ISTD; Blacks Crk RA,810,830,6,Screen-SS
ISTD; Blacks Crk RA,855,945,6,Screen-SS
ISTD; E Boise POE,-2,865,8,Steel
ISTD; E Boise POE,843.5,863.5,6,Steel
ISTD; E Boise POE,863.5,894,6,Screen-SS
ISTD; E Boise POE,894,904,6,Steel
ISTD; Well No.1,0,140,16,Steel
ISTD; Well No.1,30,50,16,Perforations-steel
J. (G.) Johnson,-1,200,6,Steel
J. (G.) Johnson,-1,300,5,Steel
J. (G.) Johnson,270,290,4,PVC
J. (G.) Johnson,290,350,4,Perforations-PVC
J. Bertallotto,-3,57,6,Steel
J. Bertallotto,57,800,6,Open
J. Dahle,1,260,8,Steel
J. Hitch,-1,59,6,Steel
J. Kelly,-1,99,6,Steel
J. Post,-2,38,10,Steel
J. Post,-2,700,8,Steel
J. Post,648,848,6,Steel
J. Post,840,940,5,Steel
J. VanBeek,-1.5,467,8,Steel
J. Watts,-2,217,6,Steel
J. Watts,217,585,6,Open
J. Zrofsky,-2,178,6,Steel
J. Zrofsky,160,280,4.5,Screen-PVC
J.B. Barnes; 1,0,1174,6,Steel
J.B. Barnes; 1,919,1174,6,Perforations-steel
J.B. Barnes; 2,0,54,10.5,Steel
J.B. Barnes; 2,0,1629,6.25,Steel
J.B. Barnes; 2,1479,1629,6.25,Perforations-steel
J.B. Toledo,-2,498,6,Steel
J.B. Toledo,-1,25,8,Steel
J.B. Toledo,500,510,5,Screen-SS
J.D. Davis,-1,18,20,Steel
J.D. Davis,18,90,20,Open
J.D. Davis,90,391,16,Open
J.D. Davis,391,591,12,Open
J.L. Tlucek,-2,235,16,Steel
J.L. Tlucek,190,204,14,Steel
J.L. Tlucek,204,276,14,Perforations-steel
J.L. Tlucek,276,296,14,Steel
J.R. Frerichs,-1,138,12,Steel
J.R. Simplot Co 3,0,60,26,Steel
J.R. Simplot Co 3,0,395,12,Steel
J.R. Simplot Co 3,0,600,20,Steel
J.R. Simplot Co 3,395,941,8,Steel
J.R. Simplot Co; 1,-1,1083,12.75,Steel
J.R. Simplot Co; 1,0,30,22,Steel
J.R. Simplot Co; 1,0,548,16,Steel
J.R. Simplot Co; 1,1025,1095,10.75,Screen-SS
J.R. Simplot Co; 1,1043,1083,12.75,Perforations-steel
J.W. Smith,-1,521,6,Steel
J.W. Smith,517,522,5,Steel
J.W. Smith,522,532,5,Screen-SS
J.W. Smith,533,543,5,Screen-SS
J.W. Smith,543,545,5,Steel
K. Blough,-2,480,6,Steel
K. Blough,60,470,6,Perforations-steel
K. Johnson,-1,21,6,Steel
K. Kramer,-1.2,687,6,Steel
L. Grassl,1.25,146,6,Steel
L. Gray,-1.5,347,6,Steel
L. Gray,336,349,5,Steel
L. Gray,349,353,5,Screen-SS
L. Gray,353,360,6,Steel
L. Hult,0,615,16,Steel
L. Hult,615,816,16,Perforations-steel
L. Urey,-1,79,6,Steel
L.E. Costello,-1.6,610,6,Steel
L.G. Davison,-2,50,6,Steel
L.G. Davison,16,296,4.5,PVC
L.G. Davison,296,416,4.5,Screen-PVC
Lincoln test (BWC),-1.6,139,6,Steel
Lincoln test (BWC),-1.6,500,4.5,Steel
Lincoln test (BWC),-1,88,8,Steel
Lincoln test (BWC),215,440,4.5,Perforations-steel
Lord Ranch,-2,298,6.6,Steel
M and C Stanley,-2,54,6,Steel
M Simmons; Leilani T1,-2,9,12,Steel
M. Baker,2,58,6.6,Steel
M. Coombs,-3,350,12,Steel
M. Coombs,350,490,12,Screen-SS
M. Hansen,-2,485,6,Steel
M. Hansen,440,500,5,Perforations-steel
M. Hansen,500,800,5,Steel
M. Holliday,0,600,16,Steel
M. Preston,-1.5,5,8,Steel
M. Preston,-1,580,5,PVC
M. Preston,580,680,5,Screen-PVC
M. Siron,-2,557,6,Steel
M. Steiner,-2,58,6,Steel
M. Steiner,22,142,4.5,PVC
M. Steiner,142,242,4.5,Perforations-PVC
M.A. Swayne,0,60,8,Steel
M.S. Tracy,-1,23,8,Steel
M.S. Tracy,23,603,8,PVC
M.S. Tracy,603,803,8,Perforations-PVC
Micron; No.3,0,40,20,Steel
Micron; No.3,0,600,16,Steel
Micron; No.3,600,995,16,Screen-SS
Micron; No.6,-2,700,16,Steel
Micron; No.6,0,252,20,Steel
Micron; No.6,690,695,10,Steel
Micron; No.6,695,700,10,Screen-SS
Micron; No.6,700,710,10,Steel
Micron; No.6,710,725,10,Screen-SS
Micron; No.6,725,756,10,Steel
Micron; No.6,756,796,10,Screen-SS
Micron; No.6,796,816,10,Steel
Micron; No.6,816,886,10,Screen-SS
Micron; No.6,886,905,10,Steel
Micron; No.6,905,955,10,Screen-SS
Micron; No.6,955,970,10,Steel
Micron; No.6,970,980,10,Screen-SS
Micron; No.6,980,990,10,Steel
Micron; No.6,990,1000,10,Screen-SS
Micron; No.6,1000,1020,10,Steel
Micron; No.6,1020,1035,10,Screen-SS
Micron; No.6,1035,1042,10,Steel
Micron; No.6,1042,1072,10,Screen-SS
Micron; No.6,1072,1092,10,Steel
Micron; No.7,-2,686,16,Steel
Micron; No.7,2,21,20,Steel
Micron; No.7,660,683,10,Steel
Micron; No.7,683,738,10,Screen-SS
Micron; No.7,738,760,10,Steel
Micron; No.7,760,780,10,Screen-SS
Micron; No.7,780,792,10,Steel
Micron; No.7,792,827,10,Screen-SS
Micron; No.7,827,850,10,Steel
Micron; No.7,850,870,10,Screen-SS
Micron; No.7,870,885,10,Steel
Micron; No.7,885,915,10,Screen-SS
Micron; No.7,915,935,10,Steel
Micron; No.7,935,975,10,Screen-SS
Micron; No.7,975,995,10,Steel
Mountain West Bank,-3,1068,6,Steel
Mountain West Bank,-2,691,8,Steel
Mountain West Bank,1030,1097,5,Steel
Mountain West Bank,1097,1117,5,Screen-SS
Nevid LLC; Monitor,-1,210,8,Steel
Nevid LLC; Monitor,-1,418,5,PVC
Nevid LLC; Monitor,418,538,5,Screen-PVC
Nevid LLC; Prod 1,-2,822,16,Steel
Nevid LLC; Prod 1,0,222,20,Steel
Nevid LLC; Prod 1,890,1090,10,Screen-SS
New Beginning Homes,-1.5,340,6,Steel
New Beginning Homes,340,345,5,Screen-SS
North Board Control,2,59,6,Steel
North Board Control,59,66,6,Perforations-steel
North Board Control,66,67,6,Steel
NW Pipeline Corp,1,61,12,Steel
NW Pipeline Corp,61,516,15,Open
P. Dater,-2,150,6,Steel
P. Dater,150,225,6,Open
P. Smith,-1.5,158.5,6,Steel
P. Stringham,-2,140,6,Steel
P. Stringham,140,160,6,Perforations-steel
P.E. Abbott,-1,90,6,Steel
P.E. Batt,-1.5,94,16,Steel
P.E. Batt,94,114,16,Screen-SS
P.E. Batt,114,304,16,Steel
P.E. Batt,304,324,16,Screen-SS
P.E. Batt,324,463,16,Steel
P.E. Batt,463,483,16,Screen-SS
P.E. Batt,483,503,16,Steel
P.E. Batt,503,573,16,Open
Pacific W Land TW 1,-2,295,10,Steel
Pacific W Land TW 1,-2,575,2,PVC
Pacific W Land TW 1,-2,732,2,PVC
Pacific W Land TW 1,-2,932,2,PVC
Pacific W Land TW 1,0,19,16,Steel
Pacific W Land TW 1,0,110,12,Steel
Pacific W Land TW 1,575,645,2,Perforations-PVC
Pacific W Land TW 1,732,822,2,Perforations-PVC
Pacific W Land TW 1,932,1052,2,Perforations-PVC
Prindle and Prindle,-2,124,6,Steel
Prindle and Prindle,103,223,4.5,PVC
Prindle and Prindle,223,263,4.5,Screen-PVC
R. Beaver,-2,350,8,Steel
R. Beaver,340,1100,6,Steel
R. Beaver,900,1100,6,Perforations-steel
R. Davenport,-1,40,6,Steel
R. Davenport,265,275,5,Steel
R. Davenport,275,276,5,Perforations-steel
R. Davenport,276,305,5,Steel
R. Deshazo,0,36.5,20,Steel
R. Deshazo,36.5,397,20,Open
R. Green,-1,272,6,Steel
R. Green,272,277,5,Steel
R. Green,277,287,5,Screen-SS
R. Green,287,289,5,Steel
R. Jenkins,-2,58,6,Steel
R. Jenkins,58,320,6,Open
