<WELLCONSTRUCTION>,,,,
Bore,Depth_top_C,Depth_bot_C,Diam_in,Cons_Type
TV Lloyd Noe no. 2,21,360,20,Open
TV Logan St,-1.5,75.5,8,Steel
TV Lonestar Rd,-2,50,12,Steel
TV Lonestar Rd,50,80,12,Perforations-steel
TV Lonestar Rd,80,95,12,Steel
TV Looney,-1,74,6,Steel
TV Lynwood Rd,0,423,12,Steel
TV Lynwood Rd,415,625,10,Perforations-steel
TV Middleton Rd,-1,164,6,Steel
TV N Blackcat,0,72.25,8,Steel
TV Northside,-1.5,310,6,Steel
TV Northside,310,314,5,Screen-SS
TV Northside,314,319,5,Steel
TV Powerline Rd,-1,19,6.7,Steel
TV Powerline Rd,19,150,9,Open
TV Pump Rd,0,20,10,Steel
TV Pump Rd,0,331,8,Steel
TV Quartz Rd,-1,85,6,Steel
TV Red Top,0,64,12.75,Steel
TV Red Top,64,100,12.75,Perforations-steel
TV Riva Ridge,-2,113,6.7,Steel
TV Riva Ridge,107,113,5.6,Steel
TV Riva Ridge,113,118,5.6,Screen-SS
TV Ross Flowing,-4.25,381,4.5,Steel
TV Roswell,-1,36,6,Steel
TV Sabin Rd,-1.5,39,16,Steel
TV Sabin Rd,39,53,16,Perforations-steel
TV Sabin Rd,53,66.5,16,Perforations-steel
TV Sabin Rd,66.5,90,16,Perforations-steel
TV Sabin Rd,90,114,16,Steel
TV Sage Rd,-1,70,6,Steel
TV Schism School,-2,330,6,Steel
TV Schism School,326,336,5,Steel
TV Schism School,336,346,5,Screen-SS
TV Schism School,346,365,5,Steel
TV Schism School,365,370,5,Screen-SS
TV Shamrock,-1,478,6,Steel
TV Southside Blvd,-2,18,6,Steel
TV Southside Blvd,18,300,8,Open
TV Spurline,-2,60,6,Steel
TV Star Rd 1,-1.8,62,6.7,Steel
TV Star Rd 1,53,60,5.6,Steel
TV Star Rd 1,60,65,5.6,Screen-SS
TV Star Rd 2,0,455,6,Steel
TV Summerall,-1,19,12,Steel
TV Summerall,150,234,12,Perforations-steel
TV Summerall,234,240,12,Steel
TV Sunset,-1,53,6,Steel
TV Sunset,47,52,6,Perforations-steel
TV Texas Rd,-1.5,168,6,Steel
TV Tlucek Nicholson R,-1,21.5,20,Steel
TV Tlucek Nicholson R,0,500,16,Steel
TV Wagner Rd,-2,158,6,Steel
TV Whitney Fire,-1.5,213,8,Steel
TV Whitney Fire,212,280,6,Steel
TV Whitney Fire,213,233,8,Steel
TV Whitney Fire,231.5,242,6,Perforations-steel
TV Whitney Fire,250,260,6,Perforations-steel
TVG Boise GT 1_MRP 1,0,874,12,Steel
TVG Boise GT 1_MRP 1,0,40,16,Steel
TVG Boise GT 1_MRP 1,837,874,8,Steel
TVG Boise GT 1_MRP 1,874,1023,8,Perforations-steel
TVG Boise GT 1_MRP 1,1023,1054,8,Steel
TVG Boise GT 1_MRP 1,1054,1074,8,Perforations-steel
TVG Boise GT 1_MRP 1,1074,1399,8,Steel
TVG Boise GT 1_MRP 1,1399,1561,8,Perforations-steel
TVG Boise GT 1_MRP 1,1561,1647,8,Steel
TVG Boise GT 1_MRP 1,1647,1657,8,Perforations-steel
TVG Boise GT 1_MRP 1,1657,2008,8,Open
TVG Boise GT 2_MRP 2,0,642,12,Steel
TVG Boise GT 2_MRP 2,0,40,16,Steel
TVG Boise GT 2_MRP 2,642,650,14.75,Open
TVG Boise GT 2_MRP 2,650,880,9.88,Open
TVG Boise GT 3_MRP 3,0,40,16,Steel
TVG Boise GT 3_MRP 3,0,653,12,Steel
TVG Boise GT 3_MRP 3,640,680,8,Steel
TVG Boise GT 3_MRP 3,680,840,8,Perforations-steel
TVG Boise GT 3_MRP 3,840,886,8,Steel
TVG Boise GT 3_MRP 3,886,901,8,Perforations-steel
TVG Boise GT 3_MRP 3,901,1050,8,Steel
TVG Boise GT 3_MRP 3,1050,1897,8,Open
TVG Boise GT4_MRP 4,0,40,16,Steel
TVG Boise GT4_MRP 4,0,610,12,Steel
TVG Boise GT4_MRP 4,580,720,8,Steel
TVG Boise GT4_MRP 4,720,800,8,Perforations-steel
TVG Boise GT4_MRP 4,800,850,8,Steel
TVG Boise GT4_MRP 4,850,870,8,Perforations-steel
TVG Boise GT4_MRP 4,870,900,8,Steel
TVG Boise GT4_MRP 4,900,1040,8,Perforations-steel
TVG Boise GT4_MRP 4,1040,1055,8,Steel
TVG Boise GT4_MRP 4,1055,1103,8,Open
TVG Cap Mall CM-1 inj,-0.8,340,10.75,Steel
TVG Cap Mall CM-1 inj,0,118,16.75,Steel
TVG Cap Mall CM-1 inj,0,370,12.75,Steel
TVG Cap Mall CM-1 inj,340,1640,8.6,Steel
TVG Cap Mall CM-1 inj,1750,2152,10,Open
TVG Cap Mall CM-2 pro,0,130,20,Steel
TVG Cap Mall CM-2 pro,0,1260,12,Steel
TVG Cap Mall CM-2 pro,1220,2550,8,Steel
TVG Cap Mall CM-2 pro,1300,2558,8,Perforations-steel
TVHP 1 State St/ID 55,0,76,8,Steel
TVHP 1 State St/ID 55,0,130,2,PVC
TVHP 1 State St/ID 55,0,210,2,PVC
TVHP 1 State St/ID 55,0,270,2,PVC
TVHP 1 State St/ID 55,0,300,2,PVC
TVHP 1 State St/ID 55,130,140,2,Screen-PVC
TVHP 1 State St/ID 55,140,150,2,PVC
TVHP 1 State St/ID 55,150,170,2,Screen-PVC
TVHP 1 State St/ID 55,170,180,2,PVC
TVHP 1 State St/ID 55,210,220,2,Screen-PVC
TVHP 1 State St/ID 55,220,240,2,PVC
TVHP 1 State St/ID 55,240,250,2,Screen-PVC
TVHP 1 State St/ID 55,250,260,2,PVC
TVHP 1 State St/ID 55,270,290,2,Screen-PVC
TVHP 1 State St/ID 55,290,300,2,PVC
TVHP 1 State St/ID 55,300,340,2,Screen-PVC
TVHP 1 State St/ID 55,310,330,2,PVC
TVHP 1 State St/ID 55,330,340,2,Screen-PVC
TVHP 1 State St/ID 55,340,350,2,PVC
TVHP 2 Quarry Vw Pk,-0.76,813,2,Steel
TVHP 2 Quarry Vw Pk,-0.5,45,10,Steel
TVHP 2 Quarry Vw Pk,0,600,2,Steel
TVHP 2 Quarry Vw Pk,1.5,498,8,Steel
TVHP 2 Quarry Vw Pk,600,700,2,Perforations-steel
TVHP 2 Quarry Vw Pk,813,848,2,Perforations-steel
TVHP 3 Caldwell,-2,84,12,Steel
TVHP 3 Caldwell,-2,110,2,PVC
TVHP 3 Caldwell,-2,142,2,PVC
TVHP 3 Caldwell,-2,182,2,PVC
TVHP 3 Caldwell,-2,238,2,PVC
TVHP 3 Caldwell,-2,376,2,PVC
TVHP 3 Caldwell,-2,514,2,PVC
TVHP 3 Caldwell,-2,679,2,PVC
TVHP 3 Caldwell,-2,912,2,PVC
TVHP 3 Caldwell,110,120,2,Screen-PVC
TVHP 3 Caldwell,120,125,2,PVC
TVHP 3 Caldwell,142,152,2,Screen-PVC
TVHP 3 Caldwell,152,157,2,PVC
TVHP 3 Caldwell,182,192,2,Screen-PVC
TVHP 3 Caldwell,192,197,2,PVC
TVHP 3 Caldwell,238,248,2,Screen-PVC
TVHP 3 Caldwell,248,253,2,PVC
TVHP 3 Caldwell,376,396,2,Screen-PVC
TVHP 3 Caldwell,396,401,2,PVC
TVHP 3 Caldwell,516,536,2,Screen-PVC
TVHP 3 Caldwell,536,541,2,PVC
TVHP 3 Caldwell,679,689,2,Screen-PVC
TVHP 3 Caldwell,689,699,2,PVC
TVHP 3 Caldwell,699,709,2,Screen-PVC
TVHP 3 Caldwell,709,714,2,PVC
TVHP 3 Caldwell,912,922,2,Screen-PVC
TVHP 3 Caldwell,922,932,2,PVC
TVHP 3 Caldwell,932,942,2,Screen-PVC
TVHP 3 Caldwell,942,947,2,PVC
TVHP 4 Municipal Pk,0,35,2,PVC
TVHP 4 Municipal Pk,0,35,8,Steel
TVHP 4 Municipal Pk,0,190,2,PVC
TVHP 4 Municipal Pk,0,300,2,PVC
TVHP 4 Municipal Pk,0,450,2,PVC
TVHP 4 Municipal Pk,0,710,2,PVC
TVHP 4 Municipal Pk,35,55,2,Screen-PVC
TVHP 4 Municipal Pk,190,210,2,Screen-PVC
TVHP 4 Municipal Pk,300,320,2,Screen-PVC
TVHP 4 Municipal Pk,450,470,2,Screen-PVC
TVHP 4 Municipal Pk,710,730,2,Screen-PVC
TVM C Meridian MW10/B,-2,42,12,Steel
TVM C Meridian MW10/B,-2,250,2,PVC
TVM C Meridian MW10/B,-2,340,2,PVC
TVM C Meridian MW10/B,-2,500,2,PVC
TVM C Meridian MW10/B,-2,600,2,PVC
TVM C Meridian MW10/B,-2,690,2,PVC
TVM C Meridian MW10/B,-2,780,2,PVC
TVM C Meridian MW10/B,250,270,2,Screen-PVC
TVM C Meridian MW10/B,340,350,2,Screen-PVC
TVM C Meridian MW10/B,350,360,2,PVC
TVM C Meridian MW10/B,360,380,2,Screen-PVC
TVM C Meridian MW10/B,500,520,2,Screen-PVC
TVM C Meridian MW10/B,600,610,2,Screen-PVC
TVM C Meridian MW10/B,610,620,2,PVC
TVM C Meridian MW10/B,620,630,2,Screen-PVC
TVM C Meridian MW10/B,630,640,2,PVC
TVM C Meridian MW10/B,640,650,2,Screen-PVC
TVM C Meridian MW10/B,690,710,2,Screen-PVC
TVM C Meridian MW10/B,710,730,2,PVC
TVM C Meridian MW10/B,730,740,2,Screen-PVC
TVM C Meridian MW10/B,780,800,2,Screen-PVC
TVM C Meridian MW10/B,800,810,2,PVC
TVM C Meridian MW10/B,810,820,2,Screen-PVC
TVM C Meridian MW10/B,820,830,2,PVC
TVM C Meridian MW10/B,830,840,2,Screen-PVC
TVM C Meridian MW10/B,840,850,2,PVC
TVM C Meridian MW10/B,850,860,2,Screen-PVC
TVM C Meridian MW26A,-2,45,8,Steel
TVM C Meridian MW26A,792,872,2,Screen-PVC
TVO Les Bois Soccer,-1.5,471,16,Steel
TVO Les Bois Soccer,-0.5,299,18,Steel
TVO Les Bois Soccer,0,20,10,Steel
TVO Les Bois Soccer,460,475,10,Steel
TVO Les Bois Soccer,475,485.3,10,Screen-SS
TVO Les Bois Soccer,485.3,555,10,Steel
TVO Les Bois Soccer,555,595.7,10,Screen-SS
TVO Les Bois Soccer,595.7,648,10,Steel
TVO Les Bois Soccer,648,658.3,10,Screen-SS
TVO Les Bois Soccer,658.3,700,10,Steel
TVO Les Bois Soccer,700,761,10,Screen-SS
TVO Les Bois Soccer,761,785,10,Steel
TVO Les Bois Soccer,785,805.3,10,Screen-SS
TVO Les Bois Soccer,805.3,825,10,Steel
TVO Les Bois Soccer,825,835.3,10,Screen-SS
TVO Les Bois Soccer,835.3,855,10,Steel
TVO Les Bois Soccer,855,865.3,10,Screen-SS
TVO Les Bois Soccer,865.3,905,10,Steel
TVO Les Bois Soccer,905,915.3,10,Screen-SS
TVO Les Bois Soccer,915.3,960,10,Steel
TVO Les Bois Soccer,960,970.3,10,Screen-SS
TVO Les Bois Soccer,970.3,985.3,10,Steel
TVO M3 TW-1,-3,97,2,PVC
TVO M3 TW-1,-3,353,2,PVC
TVO M3 TW-1,-3,395,2,PVC
TVO M3 TW-1,-3,467,2,PVC
TVO M3 TW-1,-3,514,2,PVC
TVO M3 TW-1,-1,13,8,Steel
TVO M3 TW-1,97,137,2,Perforations-PVC
TVO M3 TW-1,353,383,2,Perforations-PVC
TVO M3 TW-1,395,425,2,Perforations-PVC
TVO M3 TW-1,467,507,2,Perforations-PVC
TVO M3 TW-1,514,556,2,Perforations-PVC
TVO M3 TW-3,-2,80,8,Steel
TVO M3 TW-3,-2,258,2,PVC
TVO M3 TW-3,-2,354,2,PVC
TVO M3 TW-3,-2,370,2,PVC
TVO M3 TW-3,-2,390,2,PVC
TVO M3 TW-3,-2,430,2,PVC
TVO M3 TW-3,238,258,2,Perforations-PVC
TVO M3 TW-3,334,354,2,Perforations-PVC
TVO M3 TW-3,370,380,2,Perforations-PVC
TVO M3 TW-3,390,410,2,Perforations-PVC
TVO M3 TW-3,430,440,2,Perforations-PVC
TVO SW Fisk St,-1,125,20,Steel
TVO SW Fisk St,3,569,18,Steel
TVO SW Fisk St,547.7,568.8,10,Steel
TVO SW Fisk St,568.8,589.1,10,Screen-SS
TVO SW Fisk St,589.1,604.1,10,Steel
TVO SW Fisk St,604.1,625.3,10,Screen-SS
TVO SW Fisk St,625.3,639.3,10,Steel
TVO SW Fisk St,639.3,659.6,10,Screen-SS
TVO SW Fisk St,659.6,704.75,10,Steel
TVO SW Fisk St,704.75,715,10,Screen-SS
TVO SW Fisk St,715,725,10,Steel
TVO SW Goddard 1,0,120,20,Steel
TVO SW Goddard 1,0,760,16,Steel
USACE,0,152,24,Steel
USACE,0,351,16,Steel
USACE,0,703,12,Steel
USACE,0,916,10,Steel
USACE,906,932,6,Screen-SS
V. Anderson,0,32,16,Steel
V. Anderson,0,410,12,Steel
V. Anderson,410,423,12,Perforations-steel
V. Anderson,423,451,12,Steel
V. Anderson,451,525,12,Perforations-steel
V. Anderson,525,600,12,Steel
V. Anderson,600,680,12,Perforations-steel
VA No. 1_inj,-6,140,15.9,Steel
VA No. 1_inj,2,802,11.9,Steel
VA No. 1_inj,780,1100,7.9,Steel
VA No. 1_inj,1100,1500,7.9,Perforations-steel
VA No.3_2nd inj,-7,140,15.9,Steel
VA No.3_2nd inj,-5,1240,10.65,Steel
VA No.3_2nd inj,1180,1240,6.9,Steel
VA No.3_2nd inj,1240,2300,6.9,Perforations-steel
VA pub sply,-2,203,15.9,Steel
VA pub sply,171,428,9.9,Steel
VA pub sply,428,474,10.7,Screen-SS
Vallivue School Dist,-1,265,8,Steel
Vallivue School Dist,71,76,6,Steel
Vallivue School Dist,76,84,8,Screen-SS
Vallivue School Dist,84,89,6,Steel
Vallivue School Dist,262,267,6,Steel
Vallivue School Dist,266,271,8,Screen-SS
Vallivue School Dist,271,280,6,Steel
Vallivue School Dist,280,285,8,Screen-SS
Vallivue School Dist,285,295,6,Steel
Vision First LLC,-2,835,18,Steel
Vision First LLC,848,868,10,Screen-SS
Vision First LLC,868,900,10,Steel
Vision First LLC,900,940,10,Screen-SS
Vision First LLC,940,978,10,Steel
Vision First LLC,978,988,10,Screen-SS
W. Carson,0,632,8,Steel
W. Carson,632,642,8,Perforations-steel
W. Carson,642,652,8,Steel
W. Knipe,-2,131,6,Steel
W. Knipe,131,141,5,Screen-SS
W. Little,-1,243,6,Steel
W. Roberts,-2,292,16,Steel
W. Roberts,292,302,16,Screen-SS
W. Roberts,302,337,16,Steel
W. Roberts,337,347,16,Screen-SS
W. Roberts,347,353,16,Steel
W. Roberts,353,403,16,Screen-SS
W. Roberts,403,416,16,Steel
W. Roberts,416,436,16,Screen-SS
W. Roberts,436,443,16,Steel
W.R. Connolly,-1,29,6,Steel
Walker Homes,-2,120,6,Steel
Walker Homes,20,1280,4.5,PVC
Walker Homes,88,168,4.5,PVC
Walker Homes,160,1280,4.5,Perforations-PVC
Walker Homes,168,248,4.5,Perforations-PVC
Wesley Roberts Farms,-2,369,16,Steel
Wesley Roberts Farms,369,429,16,Screen-SS
Wesley Roberts Farms,429,450,16,Steel
Wesley Roberts Farms,450,470,16,Screen-SS
Wesley Roberts Farms,470,570,16,Steel
Wesley Roberts Farms,570,670,16,Screen-SS
Wesley Roberts Farms,670,677,16,Steel
Westprk-Intermountain,-2,18,6,PVC
Westprk-Intermountain,18,500,5,PVC
Westprk-Intermountain,500,540,5,Screen-PVC
Williams NW Pipeline,-1,50,8,PVC
Williams NW Pipeline,50,500,10,Steel
</WELLCONSTRUCTION>,,,,
