<AQUIFER>,,
Bore,Depth_Water,WL_Date
TV E Kuna Rd,122.8,25-Jan-06
TV E Kuna Rd,124,21-Apr-06
TV E Kuna Rd,125.7,19-Jun-06
TV E Kuna Rd,122,1-Sep-06
TV E Kuna Rd,120.8,18-Oct-06
TV E Kuna Rd,120.6,29-Dec-06
TV E Kuna Rd,121.5,21-Feb-07
TV E Kuna Rd,123.4,27-Apr-07
TV E Kuna Rd,122.4,19-Jun-07
TV E Kuna Rd,121.5,23-Aug-07
TV E Kuna Rd,119.8,23-Oct-07
TV E Kuna Rd,120.3,18-Dec-07
TV E Kuna Rd,121.7,19-Feb-08
TV E Kuna Rd,124,20-May-08
TV E Kuna Rd,123.2,18-Jul-08
TV E Kuna Rd,121.6,10-Sep-08
TV E Kuna Rd,119.9,19-Nov-08
TV E Kuna Rd,121.1,13-Jan-09
TV E Kuna Rd,122.4,10-Mar-09
TV E Kuna Rd,123.4,26-May-09
TV E Kuna Rd,122.6,20-Jul-09
TV E Kuna Rd,122.4,22-Sep-09
TV E Kuna Rd,119,9-Nov-09
TV E Kuna Rd,120.62,13-Jan-10
TV E Kuna Rd,121.92,8-Mar-10
TV E Kuna Rd,123.23,19-May-10
TV E Kuna Rd,122.93,14-Jul-10
TV E Kuna Rd,119.73,15-Sep-10
TV E Kuna Rd,118.49,17-Nov-10
TV E Kuna Rd,121.33,26-Jan-11
TV E Kuna Rd,121.88,18-May-11
TV E Kuna Rd,121.58,20-Jul-11
TV E Kuna Rd,118.8,21-Sep-11
TV E Kuna Rd,118.04,7-Dec-11
TV E Kuna Rd,119.28,11-Jan-12
TV E Kuna Rd,120.77,28-Mar-12
TV E Kuna Rd,121.2,30-May-12
TV E Kuna Rd,120.18,1-Aug-12
TV E Kuna Rd,117.27,26-Sep-12
TV E Kuna Rd,121.08,25-Nov-13
TV E Kuna Rd,124.05,29-Apr-14
TV E Kuna Rd,122.02,30-Jul-14
TV E Kuna Rd,118.68,22-Sep-14
TV E Kuna Rd,121.63,30-Mar-15
TV E Kuna Rd,121.56,8-Sep-15
TV E Kuna Rd,123.61,2-Jun-16
TV E Kuna Rd,120.95,4-Nov-16
TV E Kuna Rd,123.43,20-Mar-17
TV Ed Van Grouw,230.75,5-Apr-96
TV Ed Van Grouw,235.94,19-Aug-96
TV Ed Van Grouw,234.85,16-Sep-96
TV Ed Van Grouw,231.37,24-Oct-96
TV Ed Van Grouw,230.95,22-Nov-96
TV Ed Van Grouw,231.07,18-Dec-96
TV Ed Van Grouw,230.57,23-Jan-97
TV Ed Van Grouw,230.63,20-Feb-97
TV Ed Van Grouw,230.29,27-Mar-97
TV Ed Van Grouw,231.43,25-Apr-97
TV Ed Van Grouw,234.24,22-May-97
TV Ed Van Grouw,234.65,30-Jun-97
TV Ed Van Grouw,234.42,28-Jul-97
TV Ed Van Grouw,234.81,27-Aug-97
TV Ed Van Grouw,232.82,26-Sep-97
TV Ed Van Grouw,230.84,31-Oct-97
TV Ed Van Grouw,230.43,25-Nov-97
TV Ed Van Grouw,230.14,23-Dec-97
TV Ed Van Grouw,229.93,22-Jan-98
TV Ed Van Grouw,229.67,25-Feb-98
TV Ed Van Grouw,229.64,19-Mar-98
TV Ed Van Grouw,230.65,23-Apr-98
TV Ed Van Grouw,230.2,20-May-98
TV Ed Van Grouw,234.2,24-Jun-98
TV Ed Van Grouw,234.82,20-Jul-98
TV Ed Van Grouw,235.01,21-Jul-98
TV Ed Van Grouw,234.18,25-Aug-98
TV Ed Van Grouw,231.68,1-Oct-98
TV Ed Van Grouw,230.85,30-Oct-98
TV Ed Van Grouw,230.33,27-Nov-98
TV Ed Van Grouw,230.24,23-Dec-98
TV Ed Van Grouw,229.85,29-Jan-99
TV Ed Van Grouw,229.44,24-Feb-99
TV Ed Van Grouw,228.41,24-Mar-99
TV Ed Van Grouw,230.5,28-Apr-99
TV Ed Van Grouw,233.94,26-May-99
TV Ed Van Grouw,234.51,21-Jun-99
TV Ed Van Grouw,235.68,29-Jul-99
TV Ed Van Grouw,235.01,25-Aug-99
TV Ed Van Grouw,237.73,22-Sep-99
TV Ed Van Grouw,231.81,19-Oct-99
TV Ed Van Grouw,230.84,23-Nov-99
TV Ed Van Grouw,232.02,13-Dec-99
TV Ed Van Grouw,230.25,19-Jan-00
TV Ed Van Grouw,229.6,14-Feb-00
TV Ed Van Grouw,229.92,21-Mar-00
TV Ed Van Grouw,230.17,11-Apr-00
TV Ed Van Grouw,233.79,15-May-00
TV Ed Van Grouw,233.79,15-Jun-00
TV Ed Van Grouw,235.35,10-Jul-00
TV Ed Van Grouw,235.38,17-Aug-00
TV Ed Van Grouw,234.58,28-Sep-00
TV Ed Van Grouw,235.68,16-Oct-00
TV Ed Van Grouw,231.12,14-Nov-00
TV Ed Van Grouw,230.84,14-Dec-00
TV Ed Van Grouw,230.7,22-Jan-01
TV Ed Van Grouw,230.53,12-Feb-01
TV Ed Van Grouw,230.37,13-Mar-01
TV Ed Van Grouw,230.41,19-Apr-01
TV Ed Van Grouw,231.68,17-May-01
TV Ed Van Grouw,232.16,18-Jun-01
TV Ed Van Grouw,234.64,17-Jul-01
TV Ed Van Grouw,235.1,13-Aug-01
TV Ed Van Grouw,233.71,10-Sep-01
TV Ed Van Grouw,232.2,19-Oct-01
TV Ed Van Grouw,231.7,7-Jan-02
TV Ed Van Grouw,231.2,3-Apr-02
TV Ed Van Grouw,235.3,19-Jun-02
TV Ed Van Grouw,234.2,11-Sep-02
TV Ed Van Grouw,231.5,10-Dec-02
TV Ed Van Grouw,231.3,7-Mar-03
TV Ed Van Grouw,236.44,26-Jun-03
TV Ed Van Grouw,234.5,29-Sep-03
TV Ed Van Grouw,238.4,24-Dec-03
TV Ed Van Grouw,242.3,24-Feb-04
TV Ed Van Grouw,237.5,23-Apr-04
TV Ed Van Grouw,237,17-Jun-04
TV Ed Van Grouw,237,24-Aug-04
TV Ed Van Grouw,234.9,19-Oct-04
TV Ed Van Grouw,234.5,22-Dec-04
TV Ed Van Grouw,235.3,15-Feb-05
TV Ed Van Grouw,234,18-Apr-05
TV Ed Van Grouw,238.6,20-Jul-05
TV Ed Van Grouw,236.9,20-Sep-05
TV Ed Van Grouw,235,22-Nov-05
TV Ed Van Grouw,234.6,27-Jan-06
TV Ed Van Grouw,234.1,19-Apr-06
TV Ed Van Grouw,235.2,19-Jun-06
TV Ed Van Grouw,238.5,1-Sep-06
TV Ed Van Grouw,235.6,18-Oct-06
TV Ed Van Grouw,234.6,29-Dec-06
TV Ed Van Grouw,233.8,21-Feb-07
TV Ed Van Grouw,235,27-Apr-07
TV Ed Van Grouw,236.6,19-Jun-07
TV Ed Van Grouw,239.4,23-Aug-07
TV Ed Van Grouw,235.8,23-Oct-07
TV Ed Van Grouw,234.6,19-Dec-07
TV Ed Van Grouw,234.2,19-Feb-08
TV Ed Van Grouw,238.4,20-May-08
TV Ed Van Grouw,239.7,21-Jul-08
TV Ed Van Grouw,240.1,10-Sep-08
TV Ed Van Grouw,235.7,19-Nov-08
TV Ed Van Grouw,235.1,13-Jan-09
TV Ed Van Grouw,234.6,10-Mar-09
TV Ed Van Grouw,235.6,26-May-09
TV Ed Van Grouw,238.9,20-Jul-09
TV Ed Van Grouw,237.6,22-Sep-09
TV Ed Van Grouw,235.5,9-Nov-09
TV Ed Van Grouw,234.75,13-Jan-10
TV Ed Van Grouw,234.26,8-Mar-10
TV Ed Van Grouw,235.07,19-May-10
TV Ed Van Grouw,237.02,14-Jul-10
TV Ed Van Grouw,236.83,15-Sep-10
TV Ed Van Grouw,234.98,17-Nov-10
TV Ed Van Grouw,234.23,26-Jan-11
TV Ed Van Grouw,234.51,18-May-11
TV Ed Van Grouw,238.12,20-Jul-11
TV Ed Van Grouw,237.62,21-Sep-11
TV Ed Van Grouw,234.66,7-Dec-11
TV Ed Van Grouw,234.38,11-Jan-12
TV Ed Van Grouw,233.55,28-Mar-12
TV Ed Van Grouw,235.45,30-May-12
TV Ed Van Grouw,239.16,1-Aug-12
TV Ed Van Grouw,236.77,26-Sep-12
TV Ed Van Grouw,233.87,13-Feb-13
TV Ed Van Grouw,235.93,25-Nov-13
TV Ed Van Grouw,235.48,29-Apr-14
TV Ed Van Grouw,239.47,30-Jul-14
TV Ed Van Grouw,236.69,24-Jan-15
TV Ed Van Grouw,235.12,30-Mar-15
TV Ed Van Grouw,240.69,8-Sep-15
TV Ed Van Grouw,238.58,2-Jun-16
TV Ed Van Grouw,237.92,15-Nov-16
TV Ed Van Grouw,236.62,16-Mar-17
TV Elkhorn,100.13,19-Mar-96
TV Elkhorn,101.37,17-Jul-96
TV Elkhorn,123.37,19-Jul-96
TV Elkhorn,101.28,20-Aug-96
TV Elkhorn,101.36,17-Sep-96
TV Elkhorn,100.43,23-Oct-96
TV Elkhorn,99.06,21-Nov-96
TV Elkhorn,106.2,17-Dec-96
TV Elkhorn,98.59,22-Jan-97
TV Elkhorn,98.67,19-Feb-97
TV Elkhorn,99.03,25-Mar-97
TV Elkhorn,99.42,24-Apr-97
TV Elkhorn,100.98,20-May-97
TV Elkhorn,108.14,26-Jun-97
TV Elkhorn,100.41,31-Jul-97
TV Elkhorn,100.05,6-Aug-97
TV Elkhorn,100.22,26-Aug-97
TV Elkhorn,100.23,23-Sep-97
TV Elkhorn,98.78,30-Oct-97
TV Elkhorn,98.18,25-Nov-97
TV Elkhorn,97.83,19-Dec-97
TV Elkhorn,97.73,21-Jan-98
TV Elkhorn,97.65,24-Feb-98
TV Elkhorn,97.32,18-Mar-98
TV Elkhorn,97.82,22-Apr-98
TV Elkhorn,98.32,19-May-98
TV Elkhorn,97.98,23-Jun-98
TV Elkhorn,99.18,7-Jul-98
TV Elkhorn,99.53,22-Jul-98
TV Elkhorn,99.67,26-Aug-98
TV Elkhorn,100.3,30-Sep-98
TV Elkhorn,100.95,27-Oct-98
TV Elkhorn,97.88,23-Nov-98
TV Elkhorn,98.58,22-Dec-98
TV Elkhorn,100.32,28-Jan-99
TV Elkhorn,97.42,23-Feb-99
TV Elkhorn,97.16,23-Mar-99
TV Elkhorn,97.48,26-Apr-99
TV Elkhorn,98.73,27-May-99
TV Elkhorn,100.24,23-Jun-99
TV Elkhorn,99.31,27-Jul-99
TV Elkhorn,99.78,26-Aug-99
TV Elkhorn,112.53,22-Sep-99
TV Elkhorn,98.24,21-Oct-99
TV Elkhorn,97.57,17-Nov-99
TV Elkhorn,97.1,15-Dec-99
TV Elkhorn,97.75,19-Jan-00
TV Elkhorn,97.91,16-Feb-00
TV Elkhorn,96.71,22-Mar-00
TV Elkhorn,101.68,12-Apr-00
TV Elkhorn,98.8,17-May-00
TV Elkhorn,109.78,14-Jun-00
TV Elkhorn,113.78,12-Jul-00
TV Elkhorn,101.43,16-Aug-00
TV Elkhorn,105.44,27-Sep-00
TV Elkhorn,101.28,18-Oct-00
TV Elkhorn,100.95,15-Nov-00
TV Elkhorn,98.94,14-Dec-00
TV Elkhorn,97.5,24-Jan-01
TV Elkhorn,101.79,14-Feb-01
TV Elkhorn,101.25,14-Mar-01
TV Elkhorn,97.45,18-Apr-01
TV Elkhorn,98.48,16-May-01
TV Elkhorn,113.45,20-Jun-01
TV Elkhorn,99.26,18-Jul-01
TV Elkhorn,101.11,15-Aug-01
TV Elkhorn,106.65,12-Sep-01
TV Elkhorn,105,16-Oct-01
TV Elkhorn,101.4,7-Jan-02
TV Elkhorn,104.3,3-Apr-02
TV Elkhorn,108.8,21-Jun-02
TV Elkhorn,100.6,12-Sep-02
TV Elkhorn,99.8,10-Dec-02
TV Elkhorn,105.8,7-Mar-03
TV Elkhorn,105.4,16-Sep-03
TV Elkhorn,98.4,26-Dec-03
TV Elkhorn,98.6,24-Feb-04
TV Elkhorn,98.4,23-Apr-04
TV Elkhorn,98.46,17-Jun-04
TV Elkhorn,106.3,23-Aug-04
TV Elkhorn,98,19-Oct-04
TV Elkhorn,97.1,22-Dec-04
TV Elkhorn,97.2,15-Feb-05
TV Elkhorn,97.6,18-Apr-05
TV Elkhorn,99.6,20-Jul-05
TV Elkhorn,100,19-Sep-05
TV Elkhorn,98,29-Nov-05
TV Elkhorn,100.1,25-Jan-06
TV Elkhorn,99.3,21-Apr-06
TV Elkhorn,148.8,21-Jun-06
TV Elkhorn,99.42,10-Jul-06
TV Elkhorn,138,28-Aug-06
TV Elkhorn,99.9,18-Oct-06
TV Elkhorn,98.7,27-Dec-06
TV Elkhorn,107.8,21-Feb-07
TV Elkhorn,99,24-Apr-07
TV Elkhorn,126.4,20-Jun-07
TV Elkhorn,99.95,26-Jun-07
TV Elkhorn,100.4,21-Aug-07
TV Elkhorn,100,23-Oct-07
TV Elkhorn,100.1,18-Dec-07
TV Elkhorn,98.9,19-Feb-08
TV Elkhorn,114.1,19-May-08
TV Elkhorn,109.5,18-Jul-08
TV Elkhorn,100.8,10-Sep-08
TV Elkhorn,99.3,18-Nov-08
TV Elkhorn,98.6,15-Jan-09
TV Elkhorn,99.6,11-Mar-09
TV Elkhorn,130.6,27-May-09
TV Elkhorn,99.15,15-Jun-09
TV Elkhorn,106.37,14-Jan-10
TV Elkhorn,96.67,9-Mar-10
TV Elkhorn,98.32,17-May-10
TV Elkhorn,103.88,16-Jul-10
TV Elkhorn,96.91,21-Sep-10
TV Elkhorn,96.62,15-Nov-10
TV Elkhorn,95.91,25-Jan-11
TV Elkhorn,105.6,16-May-11
TV Elkhorn,112.94,21-Jul-11
TV Elkhorn,94.3,8-Dec-11
TV Elkhorn,99.27,9-Jan-12
TV Elkhorn,94.79,27-Mar-12
TV Elkhorn,112.81,22-May-12
TV Elkhorn,114.73,6-Aug-12
TV Elkhorn,110.35,28-Sep-12
TV Elkhorn,94.06,12-Feb-13
TV Elkhorn,99.08,27-Nov-13
TV Elkhorn,100.57,28-Apr-14
TV Elkhorn,107.27,30-Jul-14
TV Elkhorn,98.72,23-Sep-14
TV Elkhorn,98.54,30-Jan-15
TV Elkhorn,97.36,25-Mar-15
TV Elkhorn,103.66,5-Jun-15
TV Elkhorn,99.88,31-May-16
TV Elkhorn,99.88,31-May-16
TV Elkhorn,100.11,1-Jun-16
TV Elkhorn,100.36,1-Jun-16
TV Elkhorn,100.31,2-Jun-16
TV Elkhorn,100.26,2-Jun-16
TV Elkhorn,100.38,3-Jun-16
TV Elkhorn,118.28,3-Jun-16
TV Elkhorn,112.03,4-Jun-16
TV Elkhorn,109.94,4-Jun-16
TV Elkhorn,118.48,5-Jun-16
TV Elkhorn,104.7,5-Jun-16
TV Elkhorn,100.15,6-Jun-16
TV Elkhorn,100.5,6-Jun-16
TV Elkhorn,99.65,7-Jun-16
TV Elkhorn,99.53,7-Jun-16
TV Elkhorn,118.64,8-Jun-16
TV Elkhorn,99.85,8-Jun-16
TV Elkhorn,118.54,9-Jun-16
TV Elkhorn,101.93,9-Jun-16
TV Elkhorn,112.43,10-Jun-16
TV Elkhorn,100.36,10-Jun-16
TV Elkhorn,99.52,11-Jun-16
TV Elkhorn,99.51,11-Jun-16
TV Elkhorn,100.05,12-Jun-16
TV Elkhorn,105.1,12-Jun-16
TV Elkhorn,100.26,13-Jun-16
TV Elkhorn,118.68,13-Jun-16
TV Elkhorn,118.51,14-Jun-16
TV Elkhorn,105.17,14-Jun-16
TV Elkhorn,100.46,15-Jun-16
TV Elkhorn,100.39,15-Jun-16
TV Elkhorn,100.23,16-Jun-16
TV Elkhorn,99.9,16-Jun-16
TV Elkhorn,101.23,17-Jun-16
TV Elkhorn,101.55,17-Jun-16
TV Elkhorn,116,18-Jun-16
TV Elkhorn,101.33,18-Jun-16
TV Elkhorn,109.88,19-Jun-16
TV Elkhorn,109.72,19-Jun-16
TV Elkhorn,100.29,20-Jun-16
TV Elkhorn,104.44,20-Jun-16
TV Elkhorn,107.45,21-Jun-16
TV Elkhorn,104.15,21-Jun-16
TV Elkhorn,100.28,22-Jun-16
TV Elkhorn,115.13,22-Jun-16
TV Elkhorn,100.76,23-Jun-16
TV Elkhorn,100.75,23-Jun-16
TV Elkhorn,106.7,24-Jun-16
TV Elkhorn,105.25,24-Jun-16
TV Elkhorn,107.77,25-Jun-16
TV Elkhorn,118.33,25-Jun-16
TV Elkhorn,118.26,26-Jun-16
TV Elkhorn,107.37,26-Jun-16
TV Elkhorn,109.5,27-Jun-16
TV Elkhorn,115.07,27-Jun-16
TV Elkhorn,101.15,28-Jun-16
TV Elkhorn,101.23,28-Jun-16
TV Elkhorn,101.42,29-Jun-16
TV Elkhorn,103.01,29-Jun-16
TV Elkhorn,101.55,30-Jun-16
TV Elkhorn,104.04,30-Jun-16
TV Elkhorn,101.51,1-Jul-16
TV Elkhorn,118.56,1-Jul-16
TV Elkhorn,118.46,2-Jul-16
TV Elkhorn,105.12,2-Jul-16
TV Elkhorn,111.79,3-Jul-16
TV Elkhorn,102.38,3-Jul-16
TV Elkhorn,102.12,4-Jul-16
TV Elkhorn,101.69,4-Jul-16
TV Elkhorn,101.59,5-Jul-16
TV Elkhorn,102.08,5-Jul-16
TV Elkhorn,116.67,6-Jul-16
TV Elkhorn,102.95,6-Jul-16
TV Elkhorn,116.25,7-Jul-16
TV Elkhorn,104.52,7-Jul-16
TV Elkhorn,103.54,8-Jul-16
TV Elkhorn,102.45,8-Jul-16
TV Elkhorn,118.44,9-Jul-16
TV Elkhorn,105.28,9-Jul-16
TV Elkhorn,105.18,10-Jul-16
TV Elkhorn,101.71,10-Jul-16
TV Elkhorn,102.09,11-Jul-16
TV Elkhorn,107.86,11-Jul-16
TV Elkhorn,101.95,12-Jul-16
TV Elkhorn,101.97,12-Jul-16
TV Elkhorn,103.74,13-Jul-16
TV Elkhorn,101.64,13-Jul-16
TV Elkhorn,101.67,14-Jul-16
TV Elkhorn,103.84,14-Jul-16
TV Elkhorn,118.45,15-Jul-16
TV Elkhorn,118.55,15-Jul-16
TV Elkhorn,118.45,16-Jul-16
TV Elkhorn,108.06,16-Jul-16
TV Elkhorn,112.3,17-Jul-16
TV Elkhorn,110.04,17-Jul-16
TV Elkhorn,102.14,18-Jul-16
TV Elkhorn,102.25,18-Jul-16
TV Elkhorn,102.14,19-Jul-16
TV Elkhorn,118.52,19-Jul-16
TV Elkhorn,118.34,20-Jul-16
TV Elkhorn,118.45,20-Jul-16
TV Elkhorn,115.17,21-Jul-16
TV Elkhorn,103.03,21-Jul-16
TV Elkhorn,103.28,22-Jul-16
TV Elkhorn,102.77,22-Jul-16
TV Elkhorn,102.4,23-Jul-16
TV Elkhorn,111.66,23-Jul-16
TV Elkhorn,116.67,24-Jul-16
TV Elkhorn,105.05,24-Jul-16
TV Elkhorn,102.8,25-Jul-16
TV Elkhorn,102.86,25-Jul-16
TV Elkhorn,102.93,26-Jul-16
TV Elkhorn,118.51,26-Jul-16
TV Elkhorn,118.37,27-Jul-16
TV Elkhorn,118.48,27-Jul-16
TV Elkhorn,102.69,28-Jul-16
TV Elkhorn,102.41,28-Jul-16
TV Elkhorn,105.44,29-Jul-16
TV Elkhorn,102.73,29-Jul-16
TV Elkhorn,103.57,30-Jul-16
TV Elkhorn,118.69,30-Jul-16
TV Elkhorn,118.47,31-Jul-16
TV Elkhorn,104.51,31-Jul-16
TV Elkhorn,117.2,1-Aug-16
TV Elkhorn,118.53,1-Aug-16
TV Elkhorn,112.52,2-Aug-16
TV Elkhorn,118.43,2-Aug-16
TV Elkhorn,104.34,3-Aug-16
TV Elkhorn,101.55,3-Aug-16
TV Elkhorn,101.6,4-Aug-16
TV Elkhorn,111.16,4-Aug-16
TV Elkhorn,112.93,5-Aug-16
TV Elkhorn,118.67,5-Aug-16
TV Elkhorn,118.56,6-Aug-16
TV Elkhorn,101.84,6-Aug-16
TV Elkhorn,101.79,7-Aug-16
TV Elkhorn,101.74,7-Aug-16
TV Elkhorn,101.68,8-Aug-16
TV Elkhorn,101.67,8-Aug-16
TV Elkhorn,101.69,9-Aug-16
TV Elkhorn,103.2,9-Aug-16
TV Elkhorn,118.37,10-Aug-16
TV Elkhorn,118.44,10-Aug-16
TV Elkhorn,118.31,11-Aug-16
TV Elkhorn,113.9,11-Aug-16
TV Elkhorn,101.39,12-Aug-16
TV Elkhorn,101.93,12-Aug-16
TV Elkhorn,101.97,13-Aug-16
TV Elkhorn,103.48,13-Aug-16
TV Elkhorn,102.89,14-Aug-16
TV Elkhorn,102.61,14-Aug-16
TV Elkhorn,111.94,15-Aug-16
TV Elkhorn,107.43,15-Aug-16
TV Elkhorn,113.12,16-Aug-16
TV Elkhorn,103.06,16-Aug-16
TV Elkhorn,102.7,17-Aug-16
TV Elkhorn,102.71,17-Aug-16
TV Elkhorn,105.25,18-Aug-16
TV Elkhorn,114.08,19-Aug-16
TV Elkhorn,105.47,19-Aug-16
TV Elkhorn,108.09,20-Aug-16
TV Elkhorn,113.11,21-Aug-16
TV Elkhorn,103.22,21-Aug-16
TV Elkhorn,103.23,22-Aug-16
TV Elkhorn,103.17,22-Aug-16
TV Elkhorn,111.24,23-Aug-16
TV Elkhorn,112.57,23-Aug-16
TV Elkhorn,107.34,24-Aug-16
TV Elkhorn,105.44,24-Aug-16
TV Elkhorn,111.66,25-Aug-16
TV Elkhorn,103.52,26-Aug-16
TV Elkhorn,105.04,26-Aug-16
TV Elkhorn,103.45,27-Aug-16
TV Elkhorn,113.49,28-Aug-16
TV Elkhorn,103.8,29-Aug-16
TV Elkhorn,116.52,29-Aug-16
TV Elkhorn,104.39,30-Aug-16
TV Elkhorn,103.66,30-Aug-16
TV Elkhorn,103.68,31-Aug-16
TV Elkhorn,105.39,31-Aug-16
TV Elkhorn,103.92,1-Sep-16
TV Elkhorn,104.56,1-Sep-16
TV Elkhorn,103.66,2-Sep-16
TV Elkhorn,105.16,2-Sep-16
TV Elkhorn,113.67,3-Sep-16
TV Elkhorn,103.34,3-Sep-16
TV Elkhorn,103.33,4-Sep-16
TV Elkhorn,103.16,4-Sep-16
TV Elkhorn,103.1,5-Sep-16
TV Elkhorn,111.11,5-Sep-16
TV Elkhorn,103.24,6-Sep-16
TV Elkhorn,103.18,6-Sep-16
TV Elkhorn,106.2,7-Sep-16
TV Elkhorn,102.82,7-Sep-16
TV Elkhorn,102.81,8-Sep-16
TV Elkhorn,102.67,9-Sep-16
TV Elkhorn,104.12,9-Sep-16
TV Elkhorn,112.49,10-Sep-16
TV Elkhorn,102.76,11-Sep-16
TV Elkhorn,105.29,11-Sep-16
TV Elkhorn,102.91,12-Sep-16
TV Elkhorn,103.33,13-Sep-16
TV Elkhorn,104.9,13-Sep-16
TV Elkhorn,103.19,14-Sep-16
TV Elkhorn,103.32,14-Sep-16
TV Elkhorn,102.47,15-Sep-16
TV Elkhorn,102.46,15-Sep-16
TV Elkhorn,102.33,16-Sep-16
TV Elkhorn,108.76,16-Sep-16
TV Elkhorn,102.95,17-Sep-16
TV Elkhorn,113.81,17-Sep-16
TV Elkhorn,116.79,18-Sep-16
TV Elkhorn,103.39,18-Sep-16
TV Elkhorn,102.25,19-Sep-16
TV Elkhorn,102.78,19-Sep-16
TV Elkhorn,103.04,20-Sep-16
TV Elkhorn,104.28,20-Sep-16
TV Elkhorn,102.89,21-Sep-16
TV Elkhorn,104.52,21-Sep-16
TV Elkhorn,102.36,22-Sep-16
TV Elkhorn,102.2,22-Sep-16
TV Elkhorn,102.28,23-Sep-16
TV Elkhorn,110.76,23-Sep-16
TV Elkhorn,102.82,24-Sep-16
TV Elkhorn,101.67,25-Sep-16
TV Elkhorn,101.63,25-Sep-16
TV Elkhorn,101.67,26-Sep-16
TV Elkhorn,101.72,26-Sep-16
TV Elkhorn,115.09,27-Sep-16
TV Elkhorn,112.38,27-Sep-16
TV Elkhorn,114.53,28-Sep-16
TV Elkhorn,102.76,28-Sep-16
TV Elkhorn,101.94,29-Sep-16
TV Elkhorn,101.94,29-Sep-16
TV Elkhorn,111.96,30-Sep-16
TV Elkhorn,112.54,30-Sep-16
TV Elkhorn,101.78,1-Oct-16
TV Elkhorn,101.74,1-Oct-16
TV Elkhorn,102.42,2-Oct-16
TV Elkhorn,101.83,3-Oct-16
TV Elkhorn,101.76,3-Oct-16
TV Elkhorn,112.34,4-Oct-16
TV Elkhorn,103.73,4-Oct-16
TV Elkhorn,102.72,5-Oct-16
TV Elkhorn,102.22,5-Oct-16
TV Elkhorn,105.43,6-Oct-16
TV Elkhorn,114.16,6-Oct-16
TV Elkhorn,101.59,7-Oct-16
TV Elkhorn,106.73,7-Oct-16
TV Elkhorn,101.58,8-Oct-16
TV Elkhorn,102.21,9-Oct-16
TV Elkhorn,101.63,9-Oct-16
TV Elkhorn,114.51,10-Oct-16
TV Elkhorn,101.63,10-Oct-16
TV Elkhorn,104.15,11-Oct-16
TV Elkhorn,103.36,11-Oct-16
TV Elkhorn,101.31,12-Oct-16
TV Elkhorn,101.36,12-Oct-16
TV Elkhorn,101.41,13-Oct-16
TV Elkhorn,102.06,13-Oct-16
TV Elkhorn,101.53,14-Oct-16
TV Elkhorn,101.86,14-Oct-16
TV Elkhorn,101.46,15-Oct-16
TV Elkhorn,101.6,15-Oct-16
TV Elkhorn,102.93,16-Oct-16
TV Elkhorn,102.38,16-Oct-16
TV Elkhorn,101.45,17-Oct-16
TV Elkhorn,101.39,17-Oct-16
TV Elkhorn,101.18,18-Oct-16
TV Elkhorn,101,18-Oct-16
TV Elkhorn,100.82,19-Oct-16
TV Elkhorn,100.9,19-Oct-16
TV Elkhorn,100.7,20-Oct-16
TV Elkhorn,100.76,20-Oct-16
TV Elkhorn,100.81,21-Oct-16
TV Elkhorn,100.91,21-Oct-16
TV Elkhorn,100.88,22-Oct-16
TV Elkhorn,100.89,22-Oct-16
TV Elkhorn,100.84,23-Oct-16
TV Elkhorn,106.4,23-Oct-16
TV Elkhorn,100.92,24-Oct-16
TV Elkhorn,100.92,24-Oct-16
TV Elkhorn,98.83,20-Mar-17
TV Elmcrest,30.11,12-Mar-80
TV Elmcrest,37.68,5-Aug-80
TV Elmcrest,30,21-Mar-96
TV Elmcrest,29.19,17-Sep-96
TV Elmcrest,38.81,16-Mar-98
TV Elmcrest,30.17,28-Sep-98
TV Elmcrest,31.08,22-Mar-00
TV Elmcrest,30.3,27-Sep-00
TV Elmcrest,31.6,10-Oct-01
TV Elmcrest,30.4,30-Dec-03
TV Elmcrest,30.8,17-Feb-04
TV Elmcrest,32,19-Apr-04
TV Elmcrest,32.3,15-Jun-04
TV Elmcrest,31.8,23-Aug-04
TV Elmcrest,32.1,20-Oct-04
TV Elmcrest,30.4,21-Dec-04
TV Elmcrest,30.8,15-Feb-05
TV Elmcrest,32.8,12-Apr-05
TV Elmcrest,32.6,21-Jul-05
TV Elmcrest,31.1,15-Sep-05
TV Elmcrest,31.2,1-Dec-05
TV Elmcrest,31.1,25-Jan-06
TV Elmcrest,31.6,21-Apr-06
TV Elmcrest,32.1,20-Jun-06
TV Elmcrest,34.6,31-Aug-06
TV Elmcrest,30.1,18-Oct-06
TV Elmcrest,30.8,28-Dec-06
TV Elmcrest,43.3,20-Feb-07
TV Elmcrest,39.6,26-Apr-07
TV Elmcrest,48.3,18-Jun-07
TV Elmcrest,33,22-Aug-07
TV Elmcrest,32.4,22-Oct-07
TV Elmcrest,30.2,18-Dec-07
TV Elmcrest,31.3,18-Feb-08
TV Elmcrest,32.8,19-May-08
TV Elmcrest,36.3,22-Jul-08
TV Elmcrest,32.3,9-Sep-08
TV Elmcrest,32.2,18-Nov-08
TV Elmcrest,31.1,23-Jan-09
TV Elmcrest,31.8,12-Mar-09
TV Elmcrest,33.6,28-May-09
TV Elmcrest,31.29,15-Jan-10
TV Elmcrest,32.03,11-Mar-10
TV Elmcrest,32.59,14-May-10
TV Elmcrest,32.78,13-Jul-10
TV Elmcrest,32.37,17-Sep-10
TV Elmcrest,31.21,9-Nov-10
